"annotation_id","annotator","color","created_at","id","image","lead_time","lighting","model","updated_at","year_3","year_s","year_x","year_y"
17,"1","Blue","2026-02-05T08:13:17.600236Z",2304,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-381.jpg",157.062,"Light","Y","2026-02-05T08:13:17.600236Z","","","","2020–2024"
18,"1","Blue","2026-02-05T08:13:38.860128Z",2305,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-382.jpg",19.011,"Light","Y","2026-02-05T08:13:38.861127Z","","","","2020–2024"
19,"1","Blue","2026-02-05T08:14:33.070372Z",2306,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-383.jpg",40.308,"Light","Y","2026-02-05T08:14:33.070372Z","","","","2020–2024"
20,"1","White","2026-02-05T08:15:06.641178Z",2307,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-384.jpg",32.628,"Light","Y","2026-02-05T08:15:06.641178Z","","","","2020–2024"
21,"1","White","2026-02-05T08:15:22.541955Z",2308,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-385.jpg",15.058,"Light","Y","2026-02-05T08:15:22.541955Z","","","","2020–2024"
22,"1","White","2026-02-05T08:15:34.379508Z",2309,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-386.jpg",10.916,"Light","Y","2026-02-05T08:15:34.379508Z","","","","2020–2024"
23,"1","Blue","2026-02-05T08:15:56.558977Z",2310,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-387.jpg",21.311,"Light","Y","2026-02-05T08:15:56.558977Z","","","","2020–2024"
24,"1","Blue","2026-02-05T08:16:07.683202Z",2311,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-388.jpg",9.963,"Light","Y","2026-02-05T08:16:07.683202Z","","","","2020–2024"
25,"1","Blue","2026-02-05T08:16:25.279313Z",2312,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-389.jpg",16.581,"Light","Y","2026-02-05T08:16:25.279313Z","","","","2020–2024"
26,"1","Blue","2026-02-05T08:16:48.318569Z",2313,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-390.jpg",22.09,"Light","3","2026-02-05T08:16:48.318569Z","2024–nå","","",""
27,"1","Blue","2026-02-05T08:17:04.743297Z",2314,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-391.jpg",15.49,"Light","3","2026-02-05T08:17:04.743297Z","2024–nå","","",""
28,"1","Blue","2026-02-05T08:17:17.893143Z",2315,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-392.jpg",12.276,"Light","3","2026-02-05T08:17:17.893143Z","2024–nå","","",""
29,"1","White","2026-02-05T08:17:38.621580Z",2316,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-393.jpg",19.596,"Light","Y","2026-02-05T08:17:38.621580Z","","","","2020–2024"
30,"1","White","2026-02-05T08:17:47.879566Z",2317,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-394.jpg",8.244,"Light","Y","2026-02-05T08:17:47.879566Z","","","","2020–2024"
31,"1","White","2026-02-05T08:18:22.719825Z",2318,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-395.jpg",10.715,"Light","Y","2026-02-05T08:18:22.720819Z","","","","2020–2024"
32,"1","White","2026-02-05T08:18:53.530188Z",2319,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-396.jpg",20.135,"Light","3","2026-02-05T08:18:53.531264Z","2017–2023","","",""
33,"1","White","2026-02-05T08:19:21.205432Z",2320,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-397.jpg",14.844,"Light","3","2026-02-05T08:19:21.205432Z","2017–2023","","",""
34,"1","White","2026-02-05T08:19:36.853088Z",2321,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-398.jpg",14.225,"Light","3","2026-02-05T08:19:36.853088Z","2017–2023","","",""
35,"1","Black/Dark gray","2026-02-05T08:20:04.727876Z",2322,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-399.jpg",26.953,"Light","Y","2026-02-05T08:20:04.727876Z","","","","2020–2024"
36,"1","Black/Dark gray","2026-02-05T08:20:31.064358Z",2323,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-400.jpg",16.298000000000002,"Light","Y","2026-02-05T08:20:31.064358Z","","","","2020–2024"
37,"1","Black/Dark gray","2026-02-05T08:20:45.311782Z",2324,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-401.jpg",13.215,"Light","Y","2026-02-05T08:20:45.311782Z","","","","2020–2024"
38,"1","Black/Dark gray","2026-02-05T08:20:58.348374Z",2325,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-402.jpg",11.86,"Light","3","2026-02-05T08:20:58.348374Z","2024–nå","","",""
39,"1","Black/Dark gray","2026-02-05T08:21:15.899995Z",2326,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-403.jpg",16.157,"Light","3","2026-02-05T08:21:15.899995Z","2024–nå","","",""
40,"1","Black/Dark gray","2026-02-05T08:23:09.531080Z",2327,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-404.jpg",19.846,"Light","3","2026-02-05T08:23:09.531080Z","2024–nå","","",""
41,"1","Light gray/Silver","2026-02-05T08:23:28.234209Z",2328,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-405.jpg",22.169999999999998,"Light","3","2026-02-06T09:19:34.285589Z","2017–2023","","",""
42,"1","Light gray/Silver","2026-02-05T08:23:38.114101Z",2329,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-406.jpg",15.545,"Light","3","2026-02-06T09:19:24.179031Z","2017–2023","","",""
43,"1","Light gray/Silver","2026-02-05T08:23:46.274808Z",2330,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-407.jpg",11.173,"Light","3","2026-02-06T09:19:45.001530Z","2017–2023","","",""
45,"1","Black/Dark gray","2026-02-05T08:24:39.268269Z",2331,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-408.jpg",27.797,"Light","3","2026-02-05T08:24:39.268269Z","2017–2023","","",""
46,"1","Light gray/Silver","2026-02-05T08:24:48.027497Z",2332,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-409.jpg",15.663,"Light","3","2026-02-06T09:20:07.459783Z","2017–2023","","",""
47,"1","Black/Dark gray","2026-02-05T08:24:56.147764Z",2333,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-410.jpg",7.255,"Light","3","2026-02-05T08:24:56.147764Z","2017–2023","","",""
48,"1","Blue","2026-02-05T08:25:13.823576Z",2334,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-411.jpg",26.866,"Light","3","2026-02-05T08:25:57.842652Z","2017–2023","","",""
49,"1","Blue","2026-02-05T08:26:13.667527Z",2335,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-412.jpg",7.686,"Light","3","2026-02-05T08:26:13.667527Z","2017–2023","","",""
50,"1","Blue","2026-02-05T08:26:22.191683Z",2336,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-413.jpg",7.354,"Light","3","2026-02-05T08:26:22.191683Z","2017–2023","","",""
51,"1","White","2026-02-05T08:27:01.903855Z",2337,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-414.jpg",38.872,"Light","3","2026-02-05T08:27:01.903855Z","2017–2023","","",""
52,"1","White","2026-02-05T08:27:12.634302Z",2338,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-415.jpg",9.455,"Light","3","2026-02-05T08:27:12.634302Z","2017–2023","","",""
53,"1","White","2026-02-05T08:27:20.805037Z",2339,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-416.jpg",7.164,"Light","3","2026-02-05T08:27:20.805037Z","2017–2023","","",""
54,"1","White","2026-02-05T08:27:32.786896Z",2340,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-417.jpg",11.076,"Light","Y","2026-02-05T08:27:32.786896Z","","","","2025-nå"
55,"1","White","2026-02-05T08:27:41.349002Z",2341,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-418.jpg",7.553,"Light","Y","2026-02-05T08:27:41.349002Z","","","","2025-nå"
56,"1","White","2026-02-05T08:27:54.650452Z",2342,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-419.jpg",12.483,"Light","Y","2026-02-05T08:27:54.650452Z","","","","2025-nå"
57,"1","White","2026-02-05T08:28:26.701573Z",2343,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-420.jpg",17.094,"Light","Y","2026-02-05T08:28:26.701573Z","","","","2020–2024"
58,"1","White","2026-02-05T08:28:43.081675Z",2344,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-421.jpg",15.262,"Light","Y","2026-02-05T08:28:43.081675Z","","","","2020–2024"
59,"1","White","2026-02-05T08:28:56.167779Z",2345,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-422.jpg",12.166,"Light","Y","2026-02-05T08:28:56.167779Z","","","","2020–2024"
60,"1","Black/Dark gray","2026-02-05T08:29:26.279133Z",2346,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-423.jpg",29.187,"Light","Y","2026-02-05T08:29:26.279133Z","","","","2020–2024"
61,"1","Black/Dark gray","2026-02-05T08:29:34.989521Z",2347,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-424.jpg",7.788,"Light","Y","2026-02-05T08:29:34.989521Z","","","","2020–2024"
62,"1","Black/Dark gray","2026-02-05T08:29:43.410466Z",2348,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-425.jpg",7.409,"Light","Y","2026-02-05T08:29:43.410466Z","","","","2020–2024"
63,"1","White","2026-02-05T08:30:02.828811Z",2349,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-426.jpg",18.526,"Light","Y","2026-02-05T08:30:02.828811Z","","","","2020–2024"
64,"1","White","2026-02-05T08:30:18.705504Z",2350,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-427.jpg",14.921,"Light","Y","2026-02-05T08:30:18.706504Z","","","","2020–2024"
65,"1","White","2026-02-05T08:30:35.429779Z",2351,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-428.jpg",15.821,"Light","Y","2026-02-05T08:30:35.429779Z","","","","2020–2024"
66,"1","Black/Dark gray","2026-02-05T08:30:51.141768Z",2352,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-429.jpg",14.659,"Light","S","2026-02-05T08:30:51.141768Z","","2012–2015","",""
67,"1","Black/Dark gray","2026-02-05T08:30:59.498593Z",2353,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-430.jpg",7.403,"Light","S","2026-02-05T08:30:59.498593Z","","2012–2015","",""
68,"1","Black/Dark gray","2026-02-05T08:31:08.545637Z",2354,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-431.jpg",8.052,"Light","S","2026-02-05T08:31:08.545637Z","","2012–2015","",""
69,"1","Black/Dark gray","2026-02-05T08:31:17.468776Z",2355,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-432.jpg",7.996,"Light","S","2026-02-05T08:31:17.468776Z","","2012–2015","",""
70,"1","White","2026-02-05T08:32:53.255608Z",2356,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-433.jpg",39.778000000000006,"Light","X","2026-02-05T08:32:53.255608Z","","","2016–2020",""
71,"1","White","2026-02-05T08:33:03.673952Z",2357,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-434.jpg",8.875,"Light","X","2026-02-05T08:33:03.673952Z","","","2016–2020",""
72,"1","White","2026-02-05T08:33:17.687037Z",2358,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-435.jpg",12.861,"Light","X","2026-02-05T08:33:17.687037Z","","","2016–2020",""
73,"1","White","2026-02-05T08:33:25.187509Z",2359,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-436.jpg",6.612,"Light","X","2026-02-05T08:33:25.187509Z","","","2016–2020",""
74,"1","White","2026-02-05T08:34:07.397061Z",2360,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-437.jpg",8.713,"Light","X","2026-02-05T08:34:07.397061Z","","","2016–2020",""
75,"1","White","2026-02-05T08:34:20.817532Z",2361,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-438.jpg",11.939,"Light","X","2026-02-05T08:34:20.817532Z","","","2016–2020",""
76,"1","Black/Dark gray","2026-02-05T08:35:00.078718Z",2362,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-439.jpg",23.125999999999998,"Light","3","2026-02-05T08:36:31.230638Z","2017–2023","","",""
77,"1","Black/Dark gray","2026-02-05T08:35:16.266777Z",2363,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-440.jpg",18.598,"Light","3","2026-02-05T08:36:41.489973Z","2017–2023","","",""
78,"1","Black/Dark gray","2026-02-05T08:36:03.124261Z",2364,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-441.jpg",45.907,"Light","3","2026-02-05T08:36:03.124261Z","2017–2023","","",""
79,"1","Black/Dark gray","2026-02-05T08:37:37.176715Z",2365,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-442.jpg",43.594,"Light","Y","2026-02-05T08:37:37.176715Z","","","","2020–2024"
80,"1","Black/Dark gray","2026-02-05T08:37:47.333125Z",2366,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-443.jpg",8.796,"Light","Y","2026-02-05T08:37:47.333125Z","","","","2020–2024"
81,"1","Black/Dark gray","2026-02-05T08:37:56.339517Z",2367,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-444.jpg",7.806,"Light","Y","2026-02-05T08:37:56.339517Z","","","","2020–2024"
82,"1","White","2026-02-05T08:38:14.399835Z",2368,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-445.jpg",17.048,"Light","X","2026-02-05T08:38:14.399835Z","","","2016–2020",""
83,"1","White","2026-02-05T08:38:21.905514Z",2369,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-446.jpg",6.608,"Light","X","2026-02-05T08:38:21.905514Z","","","2016–2020",""
84,"1","White","2026-02-05T08:38:38.806673Z",2370,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-447.jpg",15.931,"Light","X","2026-02-05T08:38:38.807990Z","","","2016–2020",""
85,"1","Red","2026-02-05T08:39:02.210271Z",2371,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-448.jpg",22.451,"Light","Y","2026-02-05T08:39:02.210271Z","","","","2020–2024"
86,"1","Red","2026-02-05T08:39:15.935397Z",2372,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-449.jpg",12.723,"Light","Y","2026-02-05T08:39:15.935397Z","","","","2020–2024"
87,"1","Red","2026-02-05T08:39:25.955433Z",2373,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-450.jpg",8.913,"Light","Y","2026-02-05T08:39:25.955433Z","","","","2020–2024"
88,"1","Red","2026-02-05T08:40:09.805472Z",2374,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-451.jpg",42.725,"Light","Y","2026-02-05T08:40:09.805472Z","","","","2020–2024"
89,"1","White","2026-02-05T08:40:41.527157Z",2375,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-452.jpg",30.446,"Light","3","2026-02-05T08:40:41.527157Z","2017–2023","","",""
90,"1","White","2026-02-05T08:40:52.920674Z",2376,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-453.jpg",10.336,"Light","3","2026-02-05T08:40:52.920674Z","2017–2023","","",""
91,"1","White","2026-02-05T08:41:04.260751Z",2377,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-454.jpg",10.212,"Light","3","2026-02-05T08:41:04.260751Z","2017–2023","","",""
92,"1","Light gray/Silver","2026-02-05T08:41:30.985587Z",2378,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-455.jpg",33.442,"Light","Y","2026-02-06T09:23:05.342955Z","","","","2020–2024"
93,"1","Light gray/Silver","2026-02-05T08:41:42.434333Z",2379,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-456.jpg",13.472999999999999,"Light","Y","2026-02-06T09:23:12.141630Z","","","","2020–2024"
94,"1","Light gray/Silver","2026-02-05T08:41:54.193065Z",2380,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-457.jpg",13.417,"Light","Y","2026-02-06T09:23:19.220187Z","","","","2020–2024"
95,"1","Black/Dark gray","2026-02-05T08:42:15.897229Z",2381,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-463.jpg",20.878,"Light","Y","2026-02-05T08:42:15.898231Z","","","","2020–2024"
96,"1","Blue","2026-02-05T08:42:48.662902Z",2382,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-464.jpg",31.631,"Light","Y","2026-02-05T08:42:48.662902Z","","","","2020–2024"
97,"1","Blue","2026-02-05T08:43:00.019321Z",2383,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-465.jpg",10.525,"Light","Y","2026-02-05T08:43:00.019321Z","","","","2020–2024"
98,"1","Blue","2026-02-05T08:43:12.627669Z",2384,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-466.jpg",11.591,"Light","Y","2026-02-05T08:43:12.627669Z","","","","2020–2024"
99,"1","Blue","2026-02-05T08:43:40.746180Z",2385,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-467.jpg",20.909,"Light","3","2026-02-05T08:43:40.746180Z","2024–nå","","",""
100,"1","Blue","2026-02-05T08:43:52.397905Z",2386,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-468.jpg",10.446,"Light","3","2026-02-05T08:43:52.397905Z","2024–nå","","",""
101,"1","White","2026-02-05T08:44:30.717053Z",2387,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-469.jpg",37.175,"Light","Y","2026-02-05T08:44:30.717053Z","","","","2020–2024"
102,"1","White","2026-02-05T08:44:47.054148Z",2388,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-470.jpg",15.311,"Light","Y","2026-02-05T08:44:47.054148Z","","","","2020–2024"
103,"1","White","2026-02-05T08:45:23.021165Z",2389,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-471.jpg",26.188,"Light","Y","2026-02-05T08:45:23.021165Z","","","","2020–2024"
104,"1","White","2026-02-05T08:45:36.420139Z",2390,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-472.jpg",12.095,"Light","Y","2026-02-05T08:45:36.420139Z","","","","2020–2024"
105,"1","White","2026-02-05T08:45:56.563058Z",2391,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-473.jpg",18.891,"Light","Y","2026-02-05T08:45:56.564060Z","","","","2020–2024"
106,"1","Black/Dark gray","2026-02-05T08:46:25.503625Z",2392,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-474.jpg",27.914,"Light","3","2026-02-05T08:46:25.503625Z","2017–2023","","",""
107,"1","Black/Dark gray","2026-02-05T08:46:52.388841Z",2393,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-475.jpg",17.787,"Light","3","2026-02-05T08:46:52.388841Z","2017–2023","","",""
108,"1","Black/Dark gray","2026-02-05T08:47:10.793396Z",2394,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-476.jpg",13.006,"Light","3","2026-02-05T08:47:10.793396Z","2017–2023","","",""
109,"1","Black/Dark gray","2026-02-05T08:47:36.086401Z",2395,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-480.jpg",13.762,"Light","Y","2026-02-05T08:47:36.086401Z","","","","2020–2024"
110,"1","Black/Dark gray","2026-02-05T08:47:44.170685Z",2396,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-481.jpg",6.838,"Light","Y","2026-02-05T08:47:44.170685Z","","","","2020–2024"
111,"1","Black/Dark gray","2026-02-05T08:47:52.551711Z",2397,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-482.jpg",7.454,"Light","Y","2026-02-05T08:47:52.551711Z","","","","2020–2024"
112,"1","Blue","2026-02-05T08:48:20.336517Z",2398,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-484.jpg",26.794,"Light","3","2026-02-05T08:48:20.336517Z","2024–nå","","",""
113,"1","Blue","2026-02-05T08:48:30.961095Z",2399,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-485.jpg",9.616,"Light","3","2026-02-05T08:48:30.961095Z","2024–nå","","",""
114,"1","Blue","2026-02-05T08:48:48.117339Z",2400,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-486.jpg",16.062,"Light","3","2026-02-05T08:48:48.117339Z","2024–nå","","",""
115,"1","White","2026-02-05T08:48:59.248425Z",2401,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-488.jpg",9.835,"Light","3","2026-02-05T08:48:59.248425Z","2024–nå","","",""
116,"1","White","2026-02-05T08:49:11.267202Z",2402,"/data/local-files/?d=Users%5Cjohan%5CDownloads%5Ctesla%5Cdaylight%5C%25~n1-489.jpg",10.573,"Light","3","2026-02-05T08:49:11.268583Z","2024–nå","","",""
