color,image,lighting,model,source,year,lvl1,lvl2,strat_key
White,Egenprodusert/Tesla/low-light/IMG_4107.jpeg,Medium,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Medium
Light gray/Silver,Eksternt/Tesla/daylight/Kaggle/S/tesla-model-s-95d_1.jpg,Light,S 2016–nå,external,2016–2020,Tesla,S 2016–nå,Tesla|S 2016–nå|Light
Light gray/Silver,Egenprodusert/Tesla/low-light/%~n1-291.jpg,Medium,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Medium
Yellow,Eksternt/non-tesla/daylight/1539_02806.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Egenprodusert/Tesla/dark/%~n1-272.jpg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
White,Eksternt/Tesla/daylight/Kaggle/3/images - 2023-08-30T070935.596.jpg,Light,X,external,2021–nå,Tesla,X,Tesla|X|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_4112.jpeg,Medium,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Medium
Light gray/Silver,Eksternt/non-tesla/daylight/0291_05748.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Eksternt/non-tesla/daylight/1874_07682.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Eksternt/non-tesla/daylight/0199_01960.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Eksternt/non-tesla/daylight/1129_06723.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/2057_06062.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Eksternt/Tesla/daylight/Kaggle/3/t118.jpg,Light,Y 2020–2024,external,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
Black/Dark gray,Eksternt/Tesla/daylight/Kaggle/X/images - 2023-08-30T070131.274.jpg,Light,X,external,2016–2020,Tesla,X,Tesla|X|Light
White,Eksternt/non-tesla/daylight/2258_05915.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/1811_06243.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/2109_03767.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Eksternt/Tesla/daylight/Kaggle/X/images - 2023-08-30T070131.733.jpg,Light,X,external,2016–2020,Tesla,X,Tesla|X|Light
Black/Dark gray,Egenprodusert/Tesla/daylight/IMG_3910.jpeg,Light,X,internal,2016–2020,Tesla,X,Tesla|X|Light
Black/Dark gray,Eksternt/non-tesla/daylight/1863_04774.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Eksternt/non-tesla/daylight/0904_04613.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Blue,Egenprodusert/Tesla/low-light/%~n1-352.jpg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
Blue,Egenprodusert/Tesla/daylight/IMG_1706.jpeg,Light,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Light
Black/Dark gray,Egenprodusert/non-tesla/daylight/IMG_1732.jpeg,Light,Other car,internal,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/0675_08047.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Egenprodusert/Tesla/daylight/IMG_1795.jpeg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
White,Eksternt/Tesla/daylight/Kaggle/Y/t96.jpg,Light,X,external,2016–2020,Tesla,X,Tesla|X|Light
Orange,Egenprodusert/non-tesla/dark/IMG_4378.jpeg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Black/Dark gray,Egenprodusert/non-tesla/dark/IMG_1834.jpeg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Red,Eksternt/Tesla/daylight/Kaggle/X/2016_tesla_model-x_4dr-suv_p90d_fq_oem_1_1600.jpg,Light,X,external,2016–2020,Tesla,X,Tesla|X|Light
White,Eksternt/non-tesla/daylight/1909_04122.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Egenprodusert/Tesla/daylight/%~n1-505.jpg,Light,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Light
Black/Dark gray,Egenprodusert/Tesla/dark/%~n1-34.jpg,Dark,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Dark
White,Eksternt/non-tesla/daylight/1990_08135.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/1530_00400.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Egenprodusert/Tesla/daylight/%~n1-457.jpg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_1168.jpeg,Dark,S 2016–nå,internal,2016–2020,Tesla,S 2016–nå,Tesla|S 2016–nå|Dark
White,Egenprodusert/Tesla/daylight/IMG_4030.jpeg,Light,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Light
Red,Egenprodusert/Tesla/low-light/IMG_1206.jpeg,Medium,S 2012–2015,internal,2012–2015,Tesla,S 2012–2015,Tesla|S 2012–2015|Medium
Black/Dark gray,Eksternt/non-tesla/daylight/0259_03073.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Blue,Egenprodusert/Tesla/low-light/%~n1-116.jpg,Medium,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Medium
Black/Dark gray,Egenprodusert/Tesla/dark/%~n1-204.jpg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
Red,Egenprodusert/Tesla/daylight/IMG_3905.jpeg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
White,Egenprodusert/Tesla/low-light/IMG_4203.jpeg,Dark,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Dark
White,Egenprodusert/Tesla/low-light/IMG_4141.jpeg,Medium,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Medium
Light gray/Silver,Eksternt/non-tesla/daylight/0930_00863.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Eksternt/non-tesla/daylight/0638_04069.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_3739.jpeg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
Black/Dark gray,Egenprodusert/non-tesla/dark/IMG_1825.jpeg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_1425.jpeg,Medium,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Medium
White,Eksternt/Tesla/daylight/Kaggle/X/images - 2023-08-30T070123.797.jpg,Light,X,external,2016–2020,Tesla,X,Tesla|X|Light
White,Egenprodusert/Tesla/low-light/IMG_4116.jpeg,Medium,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Medium
White,Egenprodusert/Tesla/low-light/%~n1-140.jpg,Medium,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Medium
Orange,Eksternt/non-tesla/daylight/2338_06601.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_4234.jpeg,Dark,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Dark
White,Eksternt/non-tesla/daylight/0096_01716.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_4304.jpeg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
Light gray/Silver,Eksternt/non-tesla/daylight/0269_06818.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Eksternt/non-tesla/daylight/0371_07545.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
White,Egenprodusert/Tesla/dark/IMG_1164.jpeg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
Black/Dark gray,Egenprodusert/Tesla/dark/%~n1-359.jpg,Dark,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Dark
Black/Dark gray,Egenprodusert/Tesla/low-light/%~n1-68.jpg,Medium,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Medium
White,Egenprodusert/Tesla/daylight/%~n1-398.jpg,Light,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Light
Black/Dark gray,Egenprodusert/Tesla/dark/IMG_1482.jpeg,Dark,Y 2025-nå,internal,2025-nå,Tesla,Y 2025-nå,Tesla|Y 2025-nå|Dark
Blue,Egenprodusert/non-tesla/daylight/%~n1-458.jpg,Light,Other car,internal,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_3727.jpeg,Medium,X,internal,2016–2020,Tesla,X,Tesla|X|Medium
White,Egenprodusert/Tesla/low-light/IMG_3703.jpeg,Medium,3 2024–nå,internal,2024–nå,Tesla,3 2024–nå,Tesla|3 2024–nå|Medium
Black/Dark gray,Eksternt/Tesla/daylight/Kaggle/Y/t69.jpg,Light,Y 2020–2024,external,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
White,Eksternt/non-tesla/daylight/1166_00426.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/daylight/%~n1-463.jpg,Light,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_1638.jpeg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
White,Egenprodusert/Tesla/dark/IMG_1650.jpeg,Dark,X,internal,2016–2020,Tesla,X,Tesla|X|Dark
White,Eksternt/non-tesla/daylight/1853_06588.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Egenprodusert/non-tesla/dark/IMG_4381.jpeg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Light gray/Silver,Eksternt/non-tesla/daylight/1517_04473.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/1038_05867.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/0087_00102.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Yellow,Eksternt/non-tesla/daylight/1959_01255.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Blue,Egenprodusert/non-tesla/low-light/20260128_071259375_iOS.jpg,Medium,Other car,internal,,Other,NA,Other|NA|Medium
Light gray/Silver,Egenprodusert/non-tesla/dark/IMG_4386.jpeg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Black/Dark gray,Egenprodusert/non-tesla/daylight/%~n1-478.jpg,Light,Other car,internal,,Other,NA,Other|NA|Light
Light gray/Silver,Eksternt/non-tesla/daylight/2274_07983.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Eksternt/non-tesla/daylight/1595_01994.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Egenprodusert/Tesla/daylight/IMG_1766.jpeg,Light,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Light
Blue,Egenprodusert/Tesla/dark/%~n1-256.jpg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
White,Egenprodusert/Tesla/low-light/IMG_3689.jpeg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
Orange,Eksternt/non-tesla/daylight/1330_02208.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Blue,Egenprodusert/Tesla/dark/%~n1-3.jpg,Dark,3 2017–2023,internal,2017–2023,Tesla,3 2017–2023,Tesla|3 2017–2023|Dark
Red,Eksternt/non-tesla/daylight/0706_04454.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_1153.jpeg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
Red,Eksternt/non-tesla/daylight/0345_04049.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/non-tesla/dark/20260201_175821025_iOS.jpg,Dark,Other car,internal,,Other,NA,Other|NA|Dark
Light gray/Silver,Eksternt/non-tesla/daylight/2163_04541.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Blue,Eksternt/Tesla/daylight/Kaggle/3/t19.jpg,Light,S 2012–2015,external,2012–2015,Tesla,S 2012–2015,Tesla|S 2012–2015|Light
Red,Eksternt/non-tesla/daylight/1605_04796.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Black/Dark gray,Egenprodusert/Tesla/low-light/IMG_1249.jpeg,Medium,Y 2020–2024,internal,2020–2024,Tesla,Y 2020–2024,Tesla|Y 2020–2024|Medium
Orange,Eksternt/non-tesla/daylight/1701_05797.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
Red,Eksternt/non-tesla/daylight/2071_04232.jpg,Light,Other car,external,,Other,NA,Other|NA|Light
